10996774;	adrenal gland;0.15000000000000002
11025703;	assault gun;0.15000000000000002
11952314;	contraceptive;0.15000000000000002
13286072;	cold chisel;0.15000000000000002
13879359;	armored car (military);0.15000000000000002
1905157;	caravaggio;0.15043198373708286
1905157;	caravaggio;0.15043156596794083
194203;	ailuropoda melanoleuca;0.15000000000000002
1905157;	caravaggio;0.1503257834315855
203434;	concubinage;0.1500696918073409
1905157;	caravaggio;0.1503121666287753
203434;	concubinage;0.15006678364717285
214427;	self-propelled anti-aircraft weapon;0.15000000000000002
1905157;	caravaggio;0.15026657307985247
203434;	concubinage;0.15005704315146637
2289;	az alkmaar;0.15000000000000002
1905157;	caravaggio;0.15025024183034028
203434;	concubinage;0.15005355305252402
2300502;	alexis korner;0.15000000000000002
1905157;	caravaggio;0.15025024183034028
203434;	concubinage;0.15005355305252402
279219;	choosing summary statistics;0.15000000000000002
3558046;	jean-baptiste-siméon chardin;0.15000000000000002
1905157;	caravaggio;0.15023434115345738
203434;	concubinage;0.1500501543968688
372693;	anti-tank vehicles;0.15000000000000002
1905157;	caravaggio;0.1502342796393275
203434;	concubinage;0.1500501412475667
1905157;	caravaggio;0.15021928477537133
7003;	cauchy distribution;0.15000000000000002
203434;	concubinage;0.15004693568277616
1905157;	caravaggio;0.1501968873054566
203434;	concubinage;0.15004214667041305
710065;	tank destroyer;0.15000000000000002
1905157;	caravaggio;0.15018581942723896
203434;	concubinage;0.15003977972949786
7611264;	control engineering;0.15000000000000002
1905157;	caravaggio;0.15018581942723896
7703861;	christopher houston;0.15000000000000002
203434;	concubinage;0.15003977972949786
1905157;	caravaggio;0.15018090421704455
203434;	concubinage;0.15003872849050015
7801357;	central plaza (hong kong);0.15000000000000002
1905157;	caravaggio;0.15018090421704455
203434;	concubinage;0.15003872849050015
8066546;	arahant;0.15000000000000002
1905157;	caravaggio;0.15013969212950284
203434;	concubinage;0.15002991214041894
82432;	christiaan barnard;0.15000000000000002
1905157;	caravaggio;0.15013299953058992
203434;	concubinage;0.15002848005837482
850236;	crookes radiometer;0.15000000000000002
1905157;	caravaggio;0.15013299953058992
203434;	concubinage;0.15002848005837482
901;	computer peripheral;0.15000000000000002
1905157;	caravaggio;0.15013299953058992
203434;	concubinage;0.15002848005837482
9092818;	aramaic;0.15000000000000002
9536040;	american media (publisher);0.15000000000000002
1905157;	caravaggio;0.15013172362391247
203434;	concubinage;0.15002820702852784
